F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
DHDB0100,Premium비타500로열폴리스,120,55,0,0,14,13,30,0,0,0
RCPE3002,가쓰오 우동왕뚜껑,110,490,8,20,70,4,1580,0,10,0
SGJG0100,감자깡,30,150,2,6,22,1.6,190,0,0,0
RBJG0200,감자면,117,505,11,17,77,4,1750,0,9,0
SGJG0300,감자품격트러플,96,403,2,7,83,5,760,3,1.4,0
DHDG0400,게토레이 레몬,600,160,0,0,40,39,300,0,0,0
DHDG0401,게토레이 블루볼트,600,140,0,0,35,35,260,0,0,0
DHDG0402,게토레이 오렌지,600,145,0,0.1,35,35,270,0,0,0
SGJG0500,고구마깡,30,150,1,7,21,6,130,0,0,0
SGJG0600,고래밥 볶음양념,40,186,3,6,30,4,280,0,3.1,0
SGJG0700,고소미,35,186,2,10,22,9,110,3,0,0
RCPG0800,공화춘 삼선짬뽕컵,110,505,9,22,68,3,1690,15,8,0
DATG0900,광동 대추쌍화,150,40,0,0,16,16,50,0,0,0
DHDG0901,광동 복분자,100,55,0.7,0,13,13,15,0,0,0
DATG0902,광동 생강쌍화,120,70,0,0,17,17,40,0,0,0
DATG0903,광동 쌍화골드,100,50,0.7,0,12,10,40,0,0,0
DHDG0904,광동 아이루테인10 Lu-10,100,50,0,0,13,11,10,0,0,0
DATG0905,광동 진쌍화,100,50,0.7,0,11,10,55,0,0,0
DHDG0906,광동 홍삼꿀D,170,105,0.7,0,25,25,10,0,0,0
SBSG1000,구운감자,27,130,1,6,19,2,210,0,2.9,0
RBJG1100,김치라면,120,520,10,16,84,5,1730,0,8,0
RCPG1101,김치면,105,450,9,14,72,4,1440,0,7,0
RCPG1200,김치사발면,86,380,7,14,56,5,1520,0,7,0
RBJB0200,까르보불닭볶음면,130,550,8,20,84,5,1330,0,10,0
DTSG1300,깨수깡,160,85,0,0,21,21,15,0,0,0
SGJG1400,꼬깔콘 고소한 맛,30,180,2,11,18,2,130,0,3.5,0
SGJG1401,꼬깔콘군옥수수맛,30,165,2,9,19,2,170,0,0,0
SGJG1402,꼬깔콘매콤달콤한맛,100,570,5,35,59,7,590,0,12,0.5
SGJG1500,꼬북칩 달콤한 콩가루 인절미맛,30,172,2,12,14,4,110,0,4.9,0.1
SGJG1501,꼬북칩 콘스프맛,30,175,1,11,18,2,210,0,4.1,0
SGJG1600,꿀꽈배기,30,150,0.7,7,21,8,75,0,0,0.3
RBJN0100,나가사끼짬뽕,115,475,10,13,80,4,1670,0,6,0
