F_code,product,L_code,L_class,M_code,M_class,S_code,S_class,B_code,brand,images_dir
DHDB0100,Premium비타500로열폴리스,D,음료,HD,혼합음료,B0100,비타500,GD,광동제약,./images/drink/kwangdong/Premium비타500로열폴리스.jpg
RCPE3002,가쓰오 우동왕뚜껑,R,라면,CP,컵라면,E3002,왕뚜껑,PD,팔도,./images/ramyeon/paldo/가쓰오 우동왕뚜껑.jpeg
SGJG0100,감자깡,S,과자,GJ,과자,G0100,감자깡,NS,농심,./images/snack/nongshim/감자깡.jpg
RBJG0200,감자면,R,라면,BJ,봉지라면,G0200,감자면,NS,농심,./images/ramyeon/nongshim/감자면.PNG
SGJG0300,감자품격트러플,S,과자,GJ,과자,G0300,감자품격,CR,크라운제과,./images/snack/crown/감자품격트러플.jpg
DHDG0400,게토레이 레몬,D,음료,HD,혼합음료,G0400,게토레이,LC,롯데칠성음료(주),./images/drink/chilsung/게토레이 레몬.jpg
DHDG0401,게토레이 블루볼트,D,음료,HD,혼합음료,G0401,게토레이,LC,롯데칠성음료(주),./images/drink/chilsung/게토레이 블루볼트.jpg
DHDG0402,게토레이 오렌지,D,음료,HD,혼합음료,G0402,게토레이,LC,롯데칠성음료(주),./images/drink/chilsung/게토레이 오렌지.jpg
SGJG0500,고구마깡,S,과자,GJ,과자,G0500,고구마깡,NS,농심,./images/snack/nongshim/고구마깡.jpg
SGJG0600,고래밥 볶음양념,S,과자,GJ,과자,G0600,고래밥,OR,㈜오리온,./images/snack/nongshim/고래밥 볶음양념.jpg
SGJG0700,고소미,S,과자,GJ,과자,G0700,고소미,OR,㈜오리온 제4청주공장,./images/snack/nongshim/고소미.jpg
RCPG0800,공화춘 삼선짬뽕컵,R,라면,CP,컵라면,G0800,공화춘,PD,팔도,./images/ramyeon/paldo/공화춘 삼선짬뽕컵.jpeg
DATG0900,광동 대추쌍화,D,음료,AT,액상차,G0900,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 대추쌍화.png
DHDG0901,광동 복분자,D,음료,HD,혼합음료,G0901,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 복분자.jpg
DATG0902,광동 생강쌍화,D,음료,AT,액상차,G0902,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 생강쌍화.jpg
DATG0903,광동 쌍화골드,D,음료,AT,액상차,G0903,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 쌍화골드.jpg
DHDG0904,광동 아이루테인10 Lu-10,D,음료,HD,혼합음료,G0904,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 아이루테인10 Lu-10.jpg
DATG0905,광동 진쌍화,D,음료,AT,액상차,G0905,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 진쌍화.jpg
DHDG0906,광동 홍삼꿀D,D,음료,HD,혼합음료,G0906,광동시리즈,GD,광동제약,./images/drink/kwangdong/광동 홍삼꿀D.jpg
SBSG1000,구운감자,S,과자,BS,비스킷,G1000,구운감자,HT,해태제과식품㈜ 청주공장,./images/snack/nongshim/구운감자.jpg
RBJG1100,김치라면,R,라면,BJ,봉지라면,G1100,김치라면,OT,오뚜기라면(주),./images/ramyeon/ottogi/김치라면.jpg
RCPG1101,김치면,R,라면,CP,컵라면,G1101,김치면,OT,오뚜기라면(주),./images/ramyeon/ottogi/김치면.jpg
RCPG1200,김치사발면,R,라면,CP,컵라면,G1200,김치사발면,NS,농심,./images/ramyeon/nongshim/김치사발면.PNG
RBJB0200,까르보불닭볶음면,R,라면,BJ,봉지라면,B0200,불닭볶음면,SY,삼양식품(주),./images/ramyeon/samyang/까르보불닭볶음면.jpg
DTSG1300,깨수깡,D,음료,TS,탄산음료,G1300,깨수깡,LC,롯데칠성음료(주),./images/drink/chilsung/깨수깡.jpg
SGJG1400,꼬깔콘 고소한 맛,S,과자,GJ,과자,G1400,꼬깔콘,LT,롯데제과㈜,./images/snack/nongshim/꼬깔콘 고소한맛.jpg
SGJG1401,꼬깔콘군옥수수맛,S,과자,GJ,과자,G1401,꼬깔콘,LT,롯데제과㈜,./images/snack/nongshim/꼬깔콘 군옥수수맛.jpg
SGJG1402,꼬깔콘매콤달콤한맛,S,과자,GJ,과자,G1402,꼬깔콘,LT,롯데제과㈜,./images/snack/nongshim/꼬깔콘 매콤달콤한맛.jpg
SGJG1500,꼬북칩 달콤한 콩가루 인절미맛,S,과자,GJ,과자,G1500,꼬북칩,OR,㈜오리온 제5청주공장,./images/snack/nongshim/꼬북칩 달콤한 콩가루 인절미맛.jpg
SGJG1501,꼬북칩 콘스프맛,S,과자,GJ,과자,G1501,꼬북칩,OR,㈜오리온 제5청주공장,./images/snack/nongshim/꼬북칩 콘스프맛.jpg
SGJG1600,꿀꽈배기,S,과자,GJ,과자,G1600,꿀꽈배기,NS,농심,./images/snack/nongshim/꿀꽈배기.jpg
RBJN0100,나가사끼짬뽕,R,라면,BJ,봉지라면,N0100,나가사끼짬뽕,SY,삼양식품(주),./images/ramyeon/samyang/나가사끼짬뽕.jpg
DTSN0200,나랑드사이다,D,음료,TS,탄산음료,N0200,나랑드사이다,DO,동아오츠카(주),./images/drink/donga/나랑드사이다.jpeg
SGJD0100,닭다리후라이드치킨,S,과자,GJ,과자,D0100,닭다리후라이드치킨,NS,농심,./images/snack/nongshim/닭다리후라이드치킨.jpg
SGJE0200,더욱 달콤하고 바삭해진 엄마손파이,S,과자,GJ,과자,E0200,엄마손파이,LT,롯데제과㈜,./images/snack/nongshim/더욱달콤하고 바삭해진 엄마손파이.jpg
SCKM0100,더욱 커지고 맛있어진 마가렛트,S,과자,CK,쿠키,M0100,마가렛트,LT,롯데제과㈜,./images/snack/nongshim/더욱 커지고 맛있어진 마가렛트.jpg
DTSD0200,데미소다 레몬,D,음료,TS,탄산음료,D0200,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 레몬.jpg
DTSD0201,데미소다 복숭아,D,음료,TS,탄산음료,D0201,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 복숭아.jpg
DTSD0202,데미소다 애플,D,음료,TS,탄산음료,D0202,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 애플.jpg
DTSD0203,데미소다 오렌지,D,음료,TS,탄산음료,D0203,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 오렌지.jpg
DTSD0204,데미소다 자몽,D,음료,TS,탄산음료,D0204,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 자몽.jpg
DTSD0205,데미소다 청포도,D,음료,TS,탄산음료,D0205,데미소다,DO,동아오츠카(주),./images/drink/donga/데미소다 청포도.jpg
DHDD0300,데일리C 레몬워터,D,음료,HD,혼합음료,D0300,데일리C,LC,롯데칠성음료(주),./images/drink/chilsung/데일리C 레몬워터.jpg
DATD0400,데자와 로얄 밀크티,D,음료,AT,액상차,D0400,데자와,DO,동아오츠카(주),./images/drink/donga/데자와 로얄 밀크티.jpg
DGYD0500,덴마크 딸기딸기우유,D,음료,GY,가공유,D0500,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 딸기딸기우유.jpg
DGYD0501,덴마크 로얄밀크티,D,음료,GY,가공유,D0501,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 로얄밀크티.jpg
DGYD0502,덴마크 모닝시리얼우유,D,음료,GY,가공유,D0502,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 모닝시리얼우유.jpg
DACD0503,덴마크 민트라떼,D,음료,AC,액상커피,D0503,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 민트라떼.jpg
DGYD0504,덴마크 민트초코우유,D,음료,GY,가공유,D0504,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 민트초코우유.jpg
DGYD0505,덴마크 바나바나우유,D,음료,GY,가공유,D0505,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 바나바나우유.jpg
DGYD0506,덴마크 초코초코우유,D,음료,GY,가공유,D0506,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 초코초코우유.jpg
DACD0507,덴마크 커피커피,D,음료,AC,액상커피,D0507,덴마크,DW,(주)동원F&B,./images/drink/dongwon/덴마크 커피커피.jpg
DFDD0600,델몬트 매실,D,음료,FD,과/채음료,D0600,델몬트,LC,롯데칠성음료(주),./images/drink/chilsung/델몬트 매실.jpg
DFDD0601,델몬트 알로에,D,음료,FD,과/채음료,D0601,델몬트,LC,롯데칠성음료(주),./images/drink/chilsung/델몬트 알로에.jpg
DFDD0602,델몬트 오렌지,D,음료,FD,과/채음료,D0602,델몬트,LC,롯데칠성음료(주),./images/drink/chilsung/델몬트 오렌지.jpg
DFDD0603,델몬트 토마토,D,음료,FD,과/채음료,D0603,델몬트,LC,롯데칠성음료(주),./images/drink/chilsung/델몬트 토마토.jpg
DFDD0604,델몬트 포도,D,음료,FD,과/채음료,D0604,델몬트,LC,롯데칠성음료(주),./images/drink/chilsung/델몬트 포도.jpg
RBJB0201,도전! 불닭비빔면,R,라면,BJ,봉지라면,B0201,불닭볶음면,SY,삼양식품(주),./images/ramyeon/samyang/도전! 불닭비빔면.jpg
DATD0700,두번째 우려낸 녹차만 담았다,D,음료,AT,액상차,D0700,두번째 우려낸 녹차만 담았다,DO,동아오츠카(주),./images/drink/donga/두번째 우려낸 녹차만 담았다.jpg
SGJE0300,딸기웨하스,S,과자,GJ,과자,E0300,웨하스,HT,해태제과식품㈜ 청주공장,./images/snack/nongshim/딸기웨하스.jpg
