id,F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
1,RCPB0216,큰컵 크림까르보불닭볶음면,120,480,10,17,72,10,1270,5,9,0
2,RCPB0215,큰컵 치즈불닭볶음면,105,430,9,16,63,5,1000,0,8,0
3,RCPS0604,큰컵 삼양라면 오리지널,110,470,9,15,75,4,1800,0,8,0
4,RCPS0603,큰컵 삼양라면 매운맛,110,485,10,17,73,2,1720,0,8,0
5,RCPB0211,큰컵 불닭볶음면,105,425,9,15,63,8,950,0,8,0
6,RCPB0210,큰컵 미트스파게티 불닭볶음면,110,430,11,14,65,7,1200,0,7,0
7,RCPN0101,큰컵 나가사끼짬뽕,105,445,9,15,69,4,1620,0,8,0
8,RCPB0209,큰컵 까르보불닭볶음면,105,470,7,21,63,7,1190,0,11,0
9,RCPS0602,컵 삼양라면 오리지널,65,295,5,12,42,2,1160,0,6,0
10,RCPB0207,컵 불닭볶음면,70,280,6,10,42,6,630,0,5,0
11,RCPB0206,컵 까르보불닭볶음면,80,355,5,16,48,5,910,0,8,0
12,RBJB0208,크림까르보불닭볶음면,140,555,10,18,88,11,1500,10,9,0
13,RCPB0211,큰컵 불닭볶음면,105,425,9,15,63,8,950,0,8,0
14,RCPB0214,큰컵 쫄볶이 불닭볶음면,120,485,9,19,69,12,1330,0,9,0
15,RCPB0213,큰컵 짜장불닭볶음면,105,425,10,15,63,6,1000,2,7,0
16,RBJB0217,핵불닭볶음면,140,555,12,19,84,6,1450,0,9,0
17,RBJB0205,치즈불닭볶음면,140,550,13,18,84,7,1440,0,9,0
18,RBJJ1600,짜짜로니,140,570,12,20,85,7,1190,0,9,0
19,RBJS0700,삼양비빔면,135,560,9,20,86,13,1390,0,10,0
20,RBJS0601,삼양라면 오리지널,120,500,10,16,79,5,1780,0,8,0
