F_code,product,section,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15,raw16,raw17,raw18,raw19,raw20,raw21,raw22,raw23,raw24,raw25,raw26,raw27,raw28,raw29,raw30,raw31,raw32,raw33,raw34,raw35,raw36,raw37,raw38,raw39,raw40,raw41,raw42,raw43,raw44,raw45,raw46,raw47
SGJG0300,감자품격트러플,전체,"혼합제제(변성전분1,덱스트린)","혼합제제(변성전분2,설탕)",서류가공품(감자후레이크(미국산)),"옥수수기름(옥배유)(옥수수:외국산(브라질,러시아,미국))",설탕,"복합조미식품(1[가공소금(미국산),유청(프랑스산)])",분말유크림,소스(표고버섯페이스트),정제소금,복합조미식품(2),향미유(디오일트러플(올리오엑스트라버진올리브오일송로버섯:이탈리아산)),유화제,산도조절제(1),"혼합제제(1(합성향료,트리아세틴,가공유지,채종유))","혼합제제(2(가공유지,합성향료))",산도조절제(2),아스파라지나아제,올레오레진로즈메리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJD0900,땅콩샌드,전체,쇼트닝(1),땅콩분말(1(땅콩:중국산)),"쇼트닝(2(팜유(말레이시아산),팜핵경화유(말레이시아산)))",설탕(1),설탕(2),기타설탕,덱스트린,땅콩버터(1(땅콩:중국산)),땅콩버터(2(아르헨티나산)),포도당,기타가공품,땅콩분태(중국산),탄산수소암모늄,탄산수소나트륨,유청,물엿,정제소금,혼합제제(1),바닐린,유화제,비타민 E,밀가루(밀:미국산),제일인산칼슘,혼합제제(2),땅콩분말(2(중국산)),,,,,,,,,,,,,,,,,,,,,,
SSNS0200,못말리는 신짱,전체,밀가루,혼합식용유,백설탕,프락토올리고당,분말결정포도당,정제소금,탄산수소암모늄,벌꿀,검정깨(흑임자),조미식품(넛맥분말),탄산수소나트륨,혼합제제,조미식품(계피분말),향미증진제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCKB1000,버터와플,전체,밀가루(밀:미국산),가공버터,전란액(국산),정제소금,레시틴,글리세린지방산에스테르,생크림레진,생강레진,탄산수소나트륨,탄산수소암모늄,버터향,설탕,올레오레진로즈메리,혼합분유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJB1500,뽀또치즈타르트,전체,쇼트닝(1),"쇼트닝(2{팜유(말레이시아산),팜핵경화유(말레이시아산)})",혼합식용유,덱스트린,기타과당,산도조절제(탄산수소암모늄),산도조절제(탄산수소나트륨),산도조절제(제1인산칼슘),기타설탕,가공연유,곡류가공품,포도당,정제소금,유청,혼합제제(1),효소제,밀가루(밀:미국산),기타가공품(1),천일염,혼합분유,기타가공품(2),체다치즈분말(네덜란드산),변성전분,크림치즈분말(크림치즈:미국산),혼합제제(3),혼합제제(2),파프리카추출색소,설탕,식물성크림,유당,혼합제제(4),,,,,,,,,,,,,,,,
SSNJ0900,죠리퐁,전체,밀쌀,백설탕,팜올레인유,기타설탕,프락토올리고당,맥아물엿,식이섬유(고시형),카라멜색소,정제소금,비타민 C,바닐린,천연바닐라 추출물,유화제,당류가공품(타피페이스트),식품첨가물혼합제제(땅콩향),비타민 A,식품첨가물혼합제제(비타민프리믹스),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAC0200,참크래커,전체,쇼트닝(1),쇼트닝(2(호주산)),혼합식용유,우유,천일염,산도조절제(탄산수소나트륨),효모,곡류가공품,효소제,영양강화제,혼합분유,물엿,혼합제제,합성향료,밀가루(밀:미국산),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGJC0700,쵸코하임,전체,식물성유지(말레이시아산),설탕,유청,"혼합분유(탈지분유,유청)",유당,고지방분말,헤젤넛트페이스트,준초콜릿(영국산),올리고당,대두분,코코아분말(싱가포르산),쇼트닝,코코아매스(싱가포르산),옥수수기름(옥배유),유화제(3(자당지방산에스테르)),유화제(1(레시틴)),유화제(2(글리세린지방산에스테르)),산도조절제(1(탄산수소나트륨)),산도조절제(2(탄산수소암모늄)),덱스트린,정제소금,구아검,효소제,밀가루(밀:미국산),이소말트,헤이즐넛향,식물성유지(싱가포르산),,,,,,,,,,,,,,,,,,,,
SGJC0800,치즈샌드,전체,쇼트닝(1),"쇼트닝(2{팜유(말레이시아산),팜핵경화유(말레이시아산)})",치즈혼합분말(체다치즈:미국산),혼합식용유,산도조절제(탄산수소암모늄),산도조절제(제일인산칼슘),산도조절제(탄산수소나트륨),기타설탕,정제소금,까망베르치즈분말(덴마크산),치즈맛페이스트(체다치즈파우더:네덜란드산),DL-메티오닌,효소제,덱스트린,밀크향,치즈향(1),기타가공품(1),체다치즈분말(네덜란드산),파프리카추출색소,포도당,기타가공품(2),설탕,밀가루(밀:미국산),치즈향(2),,,,,,,,,,,,,,,,,,,,,,,
SGJK0100,카라멜콘 땅콩,전체,옥수수가루,혼합식용유,백설탕,꿀땅콩,땅콩버터,프락토올리고당,땅콩버터,캐러멜소스,결정셀룰로스,정제소금,카라멜색소 I,가공소금,합성팽창제(베이킹파우더),땅콩향(혼합제제1),캐러멜향(혼합제제2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
