F_code,product,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8
SGJG0300,감자품격트러플,FA2190,,,,,,,
SGJD0900,땅콩샌드,FA5070,FA2110,FA4310,,,,,
SSNS0200,못말리는 신짱,FA5070,,,,,,,
SCKB1000,버터와플,FA5070,,,,,,,
SGJB1500,뽀또치즈타르트,FA5070,FA4310,FA2190,,,,,
SSNJ0900,죠리퐁,FA4720,FA2110,,,,,,
SCAC0200,참크래커,,,,,,,,
SGJC0700,쵸코하임,FA4030,FA5070,FA1060,FA3920,,,,
SGJC0800,치즈샌드,FA5070,FA4310,,,,,,
SGJK0100,카라멜콘 땅콩,FA4720,FA0950,,,,,,
SGJK1100,콘치 크림치즈,FA0950,FA4030,,,,,,
SGJK1300,쿠크다스 화이트,FA2110,,,,,,,
SGJK1301,쿠크다스케이크,FA1880,,,,,,,
SGJK1500,크라운산도 딸기,FA5070,FA4310,FA2110,,,,,
SGJK1501,크라운산도 초코,FA5070,FA4310,FA5750,FA3490,FA2110,,,
SGJK1502,크라운산도 크림,FA5070,FA5750,FA4310,FA2110,,,,
SGJK1600,크라운츄러스,FA5070,,,,,,,
SWFH0500,화이트하임,FA5070,FA4030,FA1060,FA3920,,,,
SBSG1000,구운감자,FA5070,FA4190,FA1060,FA4310,,,,
SGJE0300,딸기웨하스,FA5070,,,,,,,
SGJM0300,맛동산,FA0310,FA5070,FA5110,,,,,
SGJB0900,빠삭한닭칩 후라이드치킨맛,FA2190,FA0610,FA3570,FA2510,,,,
SSNB1100,빠새(빠삭한새우칩),FA0610,FA3570,FA2510,,,,,
SGJS0500,사브레,FA5070,FA2110,,,,,,
SGJS1400,신당동 장독대를 뛰쳐나온 떡볶이 총각의 맛있는 프로포즈,FA5070,,,,,,,
SBSE0900,에이스,FA5070,FA4310,,,,,,
SGJE2000,오사쯔,,,,,,,,
SGJJ0300,자가비 짭짤한 맛,,,,,,,,
SGJK0400,칸츄리콘(콘버터맛),FA1880,FA0610,FA3570,FA2510,,,,
SGJE0301,크림웨하스,FA5070,FA2110,,,,,,
SGJT1000,포키딸기,FA4190,FA3280,,,,,,
SGJH0200,허니버터칩,,,,,,,,
SGJH0300,홈런볼 무지방 우유,FA5070,,,,,,,
SBSH0800,후렌치파이딸기,FA4100,FA5400,FA3160,,,,,
SBSH0801,후렌치파이사과,FA5400,FA4100,FA3160,,,,,
SGJG1400,꼬깔콘 고소한 맛,,,,,,,,
SGJG1401,꼬깔콘군옥수수맛,,,,,,,,
SGJG1402,꼬깔콘매콤달콤한맛,,,,,,,,
SGJE0200,더욱 달콤하고 바삭해진 엄마손파이,,,,,,,,
SCKM0100,더욱 커지고 맛있어진 마가렛트,FA1380,FA5070,,,,,,
SCKD0800,딸기잼쿠키,,,,,,,,
SSNL0200,롯샌 화이트크림깜뜨,FA5070,FA2510,FA2110,,,,,
SGJL0201,롯샌파인애플,FA5070,FA2110,FA4030,,,,,
SBSB0700,빠다코코낫,FA5070,FA2490,,,,,,
SGJB1300,뻥소리,FA4920,,,,,,,
SCAE0800,야채크래커,FA5070,FA4310,,,,,,
SGJJ0600,제크,FA5070,FA4310,,,,,,
SGJJ0601,제크샌드 콘버터맛,FA4310,FA5070,,,,,,
SGJC1000,치토스 스모키바베큐맛,,,,,,,,
SGJC1101,치토스매콤달콤한맛,,,,,,,,
SGJC1200,칙촉,FA5480,FA1380,FA2510,FA5070,,,,
SGJC1201,칙촉 더블초코,,,,,,,,
SGJC1202,칙촉 티라미수,FA5480,FA1380,FA4030,,,,,
SGJK0200,카스타드,FA1380,,,,,,,
SBSB0701,흑당 빠다코코낫,FA2490,,,,,,,
SGJG0100,감자깡,,,,,,,,
SGJG0500,고구마깡,,,,,,,,
SGJG1600,꿀꽈배기,,,,,,,,
SGJD0100,닭다리후라이드치킨,,,,,,,,
SSNS0100,매운새우깡,,,,,,,,
SGJB0400,바나나킥,,,,,,,,
SGJB1200,벌집핏자,,,,,,,,
SSNS0101,새우깡,,,,,,,,
SGJS0102,쌀새우깡,,,,,,,,
SGJE0600,알새우칩,,,,,,,,
SGJE2200,오징어집 버터구이맛,,,,,,,,
SGJE2400,옥수수깡,,,,,,,,
SGJE2800,인디안밥,,,,,,,,
SSNJ0400,자갈치문어맛,,,,,,,,
SGJJ0800,조청유과,,,,,,,,
SSNJ1800,쫄병 매콤한맛,FA6180,FA1400,,,,,,
SGJT0700,포스틱,,,,,,,,
SGJT1100,포테토칩 육개장사발면맛,,,,,,,,
SGJT1200,프레첼 솔티카라멜맛,FA0950,,,,,,,
SGJG0600,고래밥 볶음양념,FA2190,,,,,,,
SGJG0700,고소미,FA5090,FA4100,FA2490,,,,,
SGJG1500,꼬북칩 달콤한 콩가루 인절미맛,,,,,,,,
SGJG1501,꼬북칩 콘스프맛,,,,,,,,
SGJM0900,미쯔블랙,FA5070,FA2110,,,,,,
SGJB0600,배배,FA4310,FA4100,,,,,,
SGJS1200,스윙칩 볶음고추장맛,,,,,,,,
SGJE1100,예감,FA4310,,,,,,,
SGJE1101,예감 볶은양파맛,FA4310,,,,,,,
SGJE1102,예감치즈그라탕맛,,,,,,,,
SGJE1200,오!감자 감자그라탕맛,FA2190,,,,,,,
SGJE1201,오!감자 찍먹 양념바베큐소스맛,FA2190,,,,,,,
SBSE1400,오뜨 치즈,FA4100,,,,,,,
SGJE2100,오징어땅콩,FA5070,FA3280,,,,,,
SGJG0701,왕고래밥볶음양념맛,FA2190,,,,,,,
SGJC0500,초코칩쿠키,FA5070,FA2110,,,,,,
SGJC0600,촉촉한초코칩,FA2110,FA4100,,,,,,
SGJC0900,치킨팝,,,,,,,,
SGJK0201,카스타드,FA0310,FA4100,,,,,,
SGJK0300,카카오비스킷 오리온샌드 까메오 White cream,FA5070,FA4310,FA2110,,,,,
SGJK1200,쿠쉬쿠쉬 갈릭바게트맛,FA2490,,,,,,,
SGJT0900,포카칩 오리지널,,,,,,,,
SGJT0901,포카칩어니언맛,,,,,,,,
SGJH0700,후레쉬베리,FA0310,FA4100,FA2110,,,,,
SGJH0701,후레쉬베리 복숭아,FA4100,,,,,,,
SGJE2600,와클,FA2490,,,,,,,
SGJC0400,초코송이,,,,,,,,
SSNB1400,별뽀빠이,FA6180,,,,,,,
SSNS0300,사또밥,,,,,,,,
SSNS0301,사또밥 갈릭버터맛,,,,,,,,
SSNJ1701,왕짱구,FA6180,,,,,,,
SSNJ1700,짱구,FA6180,,,,,,,
SSNJ1702,흑당짱구,FA6180,,,,,,,
RBJG0200,감자면,FA0030,,,,,,,
RCPG1200,김치사발면,FA1060,FA0030,,,,,,
